machine,problem,compiler,version,flags,degree,fcomp,scalar,batch_size,rank,cell_type,ncells,time
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.047964
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.0468294
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.0469983
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 8, ffcx, double, None, tetrahedron, 1, 60606, 1.37311
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 8, ffcx, double, None, tetrahedron, 1, 60606, 1.37698
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2", 8, ffcx, double, None, tetrahedron, 1, 60606, 1.36947
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.0530043
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.053307
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.0531685
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 8, ffcx, double, None, tetrahedron, 1, 60606, 5.0448
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 8, ffcx, double, None, tetrahedron, 1, 60606, 5.04156
x86_64, Laplacian, gcc, 13, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 8, ffcx, double, None, tetrahedron, 1, 60606, 5.04191
x86_64, Laplacian, gcc, 13, "-O2 -fno-tree-vectorize", 1, ffcx, double, None, tetrahedron, 1, 2500000, 0.117142
