machine,problem,compiler,version,flags,degree,fcomp,scalar,batch_size,rank,cell_type,ncells,time
x86_64, Elasticity, gcc, 12.2.0, "-Ofast -march=znver2 -mtune=znver2", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.109418
x86_64, Elasticity, gcc, 12.2.0, "-Ofast -march=znver2 -mtune=znver2", 6, ffcx, double, None, tetrahedron, 1, 39682, 0.750821
x86_64, Elasticity, gcc, 12.2.0, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.129053
x86_64, Elasticity, gcc, 12.2.0, "-Ofast -march=znver2 -mtune=znver2 -fno-tree-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.27298
x86_64, Elasticity, gcc, 12.2.0, "-O2 -fno-tree-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.13605
x86_64, Elasticity, gcc, 12.2.0, "-O2 -fno-tree-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.52869
x86_64, Elasticity, clang, 15.0.7, "-Ofast -march=znver2 -mtune=znver2", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.134663
x86_64, Elasticity, clang, 15.0.7, "-Ofast -march=znver2 -mtune=znver2", 6, ffcx, double, None, tetrahedron, 1, 39682, 0.670978
x86_64, Elasticity, clang, 15.0.7, "-Ofast -march=znver2 -mtune=znver2 -fno-slp-vectorize -fno-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.122758
x86_64, Elasticity, clang, 15.0.7, "-Ofast -march=znver2 -mtune=znver2 -fno-slp-vectorize -fno-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.59824
x86_64, Elasticity, clang, 15.0.7, "-O2 -fno-slp-vectorize -fno-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.129154
x86_64, Elasticity, clang, 15.0.7, "-O2 -fno-slp-vectorize -fno-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.57843
