machine,problem,compiler,version,flags,degree,fcomp,scalar,batch_size,rank,cell_type,ncells,time
aarch64, Elasticity, gcc, 12.2.0, "-Ofast -mcpu=neoverse-v1", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.0965586
aarch64, Elasticity, gcc, 12.2.0, "-Ofast -mcpu=neoverse-v1", 6, ffcx, double, None, tetrahedron, 1, 39682, 0.707083
aarch64, Elasticity, gcc, 12.2.0, "-Ofast -mcpu=neoverse-v1 -fno-tree-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.107066
aarch64, Elasticity, gcc, 12.2.0, "-Ofast -mcpu=neoverse-v1 -fno-tree-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.12914
aarch64, Elasticity, gcc, 12.2.0, "-O2 -fno-tree-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.100616
aarch64, Elasticity, gcc, 12.2.0, "-O2 -fno-tree-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.30117
aarch64, Elasticity, clang, 15.0.7, "-Ofast -mcpu=neoverse-v1", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.096654
aarch64, Elasticity, clang, 15.0.7, "-Ofast -mcpu=neoverse-v1", 6, ffcx, double, None, tetrahedron, 1, 39682, 0.830666
aarch64, Elasticity, clang, 15.0.7, "-Ofast -mcpu=neoverse-v1 -fno-slp-vectorize -fno-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.0968247
aarch64, Elasticity, clang, 15.0.7, "-Ofast -mcpu=neoverse-v1 -fno-slp-vectorize -fno-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.33826
aarch64, Elasticity, clang, 15.0.7, "-O2 -fno-slp-vectorize -fno-vectorize", 2, ffcx, double, None, tetrahedron, 1, 333333, 0.0983252
aarch64, Elasticity, clang, 15.0.7, "-O2 -fno-slp-vectorize -fno-vectorize", 6, ffcx, double, None, tetrahedron, 1, 39682, 1.09309
